Date,Open,High,Low,Close
2019-02-18,26639.45,26654.25,26639.45,26654.25
2019-02-19,26666.15,26687.45,26666.15,26684.85
2019-02-20,26950.9,26955.5,26950.9,26955.5
2019-02-21,27057.9,27057.9,27052.4,27052.4
2019-02-22,26861.35,26867.55,26861.35,26867.55
2019-02-25,27145.7,27159.25,27145.7,27159.25
2019-02-26,26953.55,26957.15,26952.95,26952.95
2019-02-27,26790.75,26799.3,26790.75,26799.3
2019-02-28,26806.65,26806.65,26789.9,26789.9
2019-03-01,27026.45,27043.9,27026.45,27043.9
2019-03-05,27528.8,27554.05,27528.8,27554.05
2019-03-06,27605.5,27625.65,27605.5,27625.65
2019-03-07,27757.95,27768.85,27757.95,27764.6
2019-03-08,27761.4,27764.55,27761.4,27761.8
2019-03-11,27961.65,27966.65,27959.8,27966.65
2019-03-12,28443.75,28443.75,28443.7,28443.7
2019-03-13,28891.7,28891.7,28884.3,28884.3
2019-03-14,28923.8,28927.6,28923.1,28923.1
2019-03-15,29382,29382,29373.8,29381.45
2019-03-18,29615.55,29615.55,29596.1,29596.1
2019-03-19,29769.8,29769.8,29767.85,29767.85
2019-03-20,29849.7,29849.7,29832.2,29832.2
2019-03-22,29579.1,29582.5,29579.1,29582.5
2019-03-25,29263.3,29281.2,29263.3,29281.2
2019-03-26,29940.05,29940.05,29882.15,29882.15
2019-03-27,30022.15,30022.15,30012.6,30019.8
2019-03-28,30391.85,30420.55,30391.85,30420.55
2019-03-29,30379.15,30426.8,30379.15,30426.8
2019-04-01,30255.5,30327.15,30255.5,30326.5
2019-04-02,30432.85,30432.85,30354.25,30354.25
2019-04-03,30086.7,30099.85,30086.7,30093.3
2019-04-04,29918.65,29918.65,29904.9,29904.9
2019-04-05,30127.45,30127.45,30084.65,30084.65
2019-04-08,29853.7,29853.7,29845.3,29845.3
2019-04-09,30128.95,30128.95,30113.85,30113.85
2019-04-10,29792.25,29804.8,29792.25,29803.5
2019-04-11,29797.85,29797.85,29786.1,29786.1
2019-04-12,29864.6,29938.55,29864.6,29938.55
2019-04-15,30073.55,30109.2,30073.55,30104.25
2019-04-16,30529.75,30531.35,30529,30531.35
2019-04-18,30218.7,30223.4,30218.7,30223.4
2019-04-22,29678.85,29687.95,29678.85,29687.95
2019-04-23,29475.5,29479.7,29475.5,29479.7
2019-04-24,29847.2,29860.8,29847.2,29860.8
2019-04-25,29559.2,29565.8,29559.2,29561.35
2019-04-26,29971.8,30016.05,29971.8,30013.5
2019-04-30,29735.45,29768.9,29735.45,29764.8
2019-05-02,29689.75,29709.7,29689.75,29708.6
2019-05-03,29939.15,29954.15,29939.15,29954.15
2019-05-06,29624.95,29624.95,29618.45,29618.45
2019-05-07,29287.4,29288.2,29287.4,29288.2
2019-05-08,29003.15,29003.15,28994.4,28994.4
2019-05-09,28896.95,28896.95,28884.6,28884.6
2019-05-10,29032.25,29040.5,29032.25,29040.5
2019-05-13,28674.3,28674.3,28659.95,28659.95
2019-05-14,28868.2,28868.2,28829.2,28829.2
2019-05-15,28571.15,28616.45,28571.15,28616.45
2019-05-16,28883.1,28883.1,28855.3,28855.3
2019-05-17,29499.5,29499.5,29450.15,29450.15
2019-05-20,30758.55,30769.7,30758.05,30759.7
2019-05-21,30324.1,30324.1,30302.6,30308.4
2019-05-22,30540.9,30544.45,30526.8,30526.8
2019-05-23,30495.3,30495.3,30409.1,30409.1
2019-05-24,31215.75,31219.05,31212.55,31212.55
2019-05-27,31615.6,31647.65,31615.6,31647.65
2019-05-28,31602.85,31602.85,31597.9,31597.9
2019-05-29,31291.1,31295.55,31291.1,31295.55
2019-05-30,31581.1,31581.1,31537.1,31537.1
2019-05-31,31386.4,31386.4,31373.7,31375.4
2019-06-03,31637.05,31656.45,31637.05,31653.65
2019-06-04,31615.25,31615.25,31589.05,31589.05
2019-06-06,30857.4,30857.4,30857.4,30857.4
2019-06-07,31081.25,31081.25,31066.55,31066.55
2019-06-10,31058.35,31058.35,31034,31034
2019-06-11,31276,31276,31265.45,31265.45
2019-06-12,31011.05,31011.05,30965.7,30965.7
2019-06-13,30970.5,30976.1,30970.5,30976.1
2019-06-14,30588.75,30614.35,30588.75,30614.35
2019-06-17,30301.1,30301.1,30273.25,30273.25
